id,ticker,event_date,true_label,predicted_label,confidence,future_return_1d,abnormal_score,senti_label,emo_label,likely_root_cause,original
109491,TSLA,2020-07-21,neutral,negative,0.91087455,0.0152834765182541,0.308317850986459,bullish,belief,model overreacted to directional cues in a neutral target window,$TSLA Imagine a it gaps up to 1700ish tomorrow before bell and then 20% run after ER.. wow that would make this to break 2K .. There we go 🚀🚀🚀
109490,TSLA,2020-07-21,neutral,negative,0.90583867,0.0152834765182541,0.308317850986459,bullish,anxiety,model overreacted to directional cues in a neutral target window,"$TSLA got shaken out @ $1,602 🤦🏻‍♂️ Sadly do not think it is wise to try and jump back in before earnings. Will be 👀 closely."
109195,BA,2020-03-16,neutral,positive,0.8727938,-0.0422035428974935,-0.6042968496933048,bearish,panic,model overreacted to directional cues in a neutral target window,$BA Huge Downgrades!!! Future contracts Cancelled! Going Down Big!👇👇👇
109200,MA,2020-03-17,neutral,negative,0.8700124,-0.0418276772016527,-0.7041711202691091,bullish,optimism,model overreacted to directional cues in a neutral target window,$MA the Vote of confidence here is that Insiders bought shares ...yum🚀🚀🚀
109098,TSLA,2020-02-18,positive,neutral,0.8455218,0.0687558089532556,0.9562303224454196,bullish,optimism,abnormal move occurred despite a weak directional model signal,"$TSLA only think that can stop our momentum, is a credit aissie downgrade that usually comes out of nowhere, if not 900+ tomorrow🤗🤗🤗🤗🤗"
109382,CCL,2020-05-27,negative,neutral,0.82351106,-0.0759860032537258,-0.971896219052169,bullish,excitement,historical sentiment label conflicts with realized next-day move,$CCL oh yea! Let's get another 10% day tomorrow 🤑
109348,TSLA,2020-05-04,neutral,positive,0.82082367,0.0092224477644073,0.1537385209167036,bearish,anxiety,model overreacted to directional cues in a neutral target window,"$TSLA Elon is on Bears side 🤑🤑🤑, Bulls are in shock 🥺😳🥵"
109289,TSLA,2020-04-13,positive,neutral,0.7988115,0.0905445731500638,1.0058784762623936,bullish,excitement,abnormal move occurred despite a weak directional model signal,"$TSLA its time to head 1,200$ 🚀  😎"
109862,AAPL,2020-11-02,neutral,negative,0.7860894,0.0153535883252011,0.5448051835497992,bearish,belief,model overreacted to directional cues in a neutral target window,$AAPL who’s shorting this in an iPhone 😂
109204,BA,2020-03-18,neutral,positive,0.77625275,-0.0410246376505568,-0.495090892872076,bearish,anxiety,model overreacted to directional cues in a neutral target window,"$BA you guys are insane if you’re buying this now they haven’t even issued quarantines yet which most likely will happen
Wait for the price to drop more 🤷🏻‍♂️🤦🏻‍♂️"
109242,AMZN,2020-03-27,positive,neutral,0.76798755,0.033603546919714,0.7989301613157951,bullish,anxiety,abnormal move occurred despite a weak directional model signal,$AMZN could we retest the low today and get back to bull market soon after ‼️‼️‼️‼️‼️‼️
109018,TSLA,2020-01-16,neutral,positive,0.7674452,-0.0058228941569139,-0.1888399017096316,bearish,anger,model overreacted to directional cues in a neutral target window,$TSLA you may have a gambling problem if you’re buying here. 🤷‍♂️ do as you wish
