id,ticker,event_date,true_label,deep_text_price_prediction,classical_price_only_prediction,deep_text_price_confidence,classical_price_only_confidence,future_return_1d,abnormal_score,senti_label,emo_label,likely_root_cause,original
101575,TSLA,2020-03-17,negative,negative,positive,0.97946656,0.3637475376817312,-0.1603440409986845,-2.1332058951659927,bearish,surprise,large move likely reflects market/news context not present in the post,$TSLA soooo it is not heading to $500? 😳😳😳😆😆😆
109199,TSLA,2020-03-17,negative,negative,positive,0.9787255,0.3637475376817312,-0.1603440409986845,-2.1332058951659927,bearish,ambiguous,large move likely reflects market/news context not present in the post,$TSLA see you all sub 100. 😂 Elon just give me part of the billions you took from shareholders.
109198,TSLA,2020-03-17,negative,negative,positive,0.97483814,0.3637475376817312,-0.1603440409986845,-2.1332058951659927,bearish,anxiety,large move likely reflects market/news context not present in the post,"$TSLA PSA: If you are still long, I recommend selling and buying in once the dust settles...likely before the weekend. Imo we are in for atleast 2 more down days before the stimulus packages are finally ""real"" and then we MIGHT stabilize 👇👇 until then"
103812,TSLA,2020-07-14,neutral,neutral,positive,0.96241486,0.3677300321402846,0.0192575811636046,0.4114446774013669,bullish,surprise,"social-media shorthand, hype, or sarcasm may be hard to interpret",$TSLA WOW AH ITS A RUNNER...💥💥🚀🚀🚀🚀
109477,TSLA,2020-07-14,neutral,neutral,positive,0.9491729,0.3677300321402846,0.0192575811636046,0.4114446774013669,bullish,excitement,"social-media shorthand, hype, or sarcasm may be hard to interpret",$TSLA Second YASSSSSSSSSSSSS from me today...YASSSSSSSSS 🚀
109216,TSLA,2020-03-23,positive,positive,negative,0.9767403,0.4174678150393244,0.1628174932356298,1.834541197197171,bullish,optimism,large move likely reflects market/news context not present in the post,"$TSLA I'm in for a hopeful pop this week, yes I said hope it's a lotto play let's see what happens 🤑"
109402,BA,2020-06-08,negative,negative,neutral,0.94334495,0.3841117375193355,-0.0596962885329106,-1.1321620916272412,bullish,belief,historical sentiment label conflicts with realized next-day move,"$BA We will see 261 pre market, and 279 this week. 
🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀"
109752,TSLA,2020-09-22,negative,negative,neutral,0.97700626,0.422351896424133,-0.1034109073848392,-1.3176709029142035,bearish,disgust,large move likely reflects market/news context not present in the post,$TSLA This dummy can’t even turn on the sound 🤣🤣
109755,TSLA,2020-09-22,negative,negative,neutral,0.9769408,0.422351896424133,-0.1034109073848392,-1.3176709029142035,bearish,disgust,large move likely reflects market/news context not present in the post,$TSLA what a surprise. sell the news 😂😂😂
109753,TSLA,2020-09-22,negative,negative,neutral,0.9725575,0.422351896424133,-0.1034109073848392,-1.3176709029142035,bearish,optimism,large move likely reflects market/news context not present in the post,"$TSLA . Biggest Baddest Event in the world. BATTERY DAY. should have been called battery hour😆. all this time i thought the entire day would be dedicated to talking about batteries, from 8 am to 8 pm. but i guess not"
109756,TSLA,2020-09-22,negative,negative,neutral,0.9713504,0.422351896424133,-0.1034109073848392,-1.3176709029142035,bearish,anxiety,large move likely reflects market/news context not present in the post,$TSLA - Tesla has a solid support at $150. 🔥
109758,TSLA,2020-09-22,negative,negative,neutral,0.970266,0.422351896424133,-0.1034109073848392,-1.3176709029142035,bearish,anger,large move likely reflects market/news context not present in the post,$TSLA Sub 300 inbound worst event ever 🐑 Getting slaughtered Tendie Timeee!!!
