model,display_name,class,f1,precision,recall,support
deep_text_price,Deep text + price,negative,0.6157635467980296,0.6009615384615384,0.6313131313131313,198.0
deep_text_price,Deep text + price,neutral,0.7250470809792844,0.7361376673040153,0.7142857142857143,539.0
deep_text_price,Deep text + price,positive,0.5307692307692308,0.5247148288973384,0.5369649805447471,257.0
classical_price_only,Classical price-only,negative,0.3983739837398374,0.3333333333333333,0.494949494949495,198.0
classical_price_only,Classical price-only,neutral,0.6157068062827226,0.7067307692307693,0.5454545454545454,539.0
classical_price_only,Classical price-only,positive,0.37707948243992606,0.3591549295774648,0.3968871595330739,257.0
classical_text_price,Classical text + price,negative,0.3700440528634361,0.328125,0.42424242424242425,198.0
classical_text_price,Classical text + price,neutral,0.6313725490196078,0.6694386694386695,0.5974025974025974,539.0
classical_text_price,Classical text + price,positive,0.36964980544747084,0.36964980544747084,0.36964980544747084,257.0
technical_analysis_baseline,TA baseline,negative,0.2786377708978328,0.36,0.22727272727272727,198.0
technical_analysis_baseline,TA baseline,neutral,0.6065727699530516,0.6140684410646388,0.5992578849721707,539.0
technical_analysis_baseline,TA baseline,positive,0.35,0.30612244897959184,0.4085603112840467,257.0
classical_text_only,Classical text-only,negative,0.2694063926940639,0.24583333333333332,0.29797979797979796,198.0
classical_text_only,Classical text-only,neutral,0.552734375,0.5835051546391753,0.5250463821892394,539.0
classical_text_only,Classical text-only,positive,0.2737642585551331,0.26765799256505574,0.2801556420233463,257.0
deep_text_only,Deep text-only,negative,0.15584415584415584,0.21818181818181817,0.12121212121212122,198.0
deep_text_only,Deep text-only,neutral,0.4953940634595701,0.5525114155251142,0.4489795918367347,539.0
deep_text_only,Deep text-only,positive,0.3328591749644381,0.2623318385650224,0.45525291828793774,257.0
