group_type,group_value,n_rows,accuracy,macro_f1,mean_abs_abnormal_score
contains_non_ascii,True,994,0.6519114688128773,0.6238599528488482,0.9656466613112054
emo_label,disgust,121,0.7520661157024794,0.7384144323071831,0.8689303950108868
emo_label,ambiguous,86,0.7674418604651163,0.7227330965471382,0.9185198962250443
emo_label,amusement,82,0.7073170731707317,0.6844377844377844,0.9087366805463445
emo_label,excitement,146,0.6712328767123288,0.6428731762065095,0.8543638067234055
emo_label,panic,30,0.6666666666666666,0.6388888888888888,1.0094745873895852
emo_label,surprise,29,0.6206896551724138,0.6380286380286381,1.0293599577061752
emo_label,anxiety,133,0.6466165413533834,0.6294379817468198,1.055849403114478
emo_label,anger,38,0.6052631578947368,0.5847953216374269,1.0178734479449731
emo_label,confusion,60,0.6,0.5836385836385837,1.197276889304962
emo_label,optimism,161,0.5900621118012422,0.5432242702395934,0.9566888803755328
emo_label,belief,89,0.5393258426966292,0.5109834756188114,1.0554995020330469
emo_label,depression,19,0.47368421052631576,0.4222222222222222,0.9168501091709762
post_length_bucket,long,247,0.6963562753036437,0.6784953608483021,0.9202803565914262
post_length_bucket,medium_short,250,0.664,0.6303636955409867,1.0136076600856803
post_length_bucket,medium_long,239,0.6276150627615062,0.5982247491393833,0.9726499384625648
post_length_bucket,short,258,0.6201550387596899,0.5871355706999272,0.9561173757801655
senti_label,bearish,442,0.6945701357466063,0.6648799334499295,1.016978319298082
senti_label,bullish,552,0.6177536231884058,0.590377342243707,0.9245441380680903
ticker,TSLA,426,0.795774647887324,0.7865276400820247,0.8730018531907281
ticker,BA,88,0.6818181818181818,0.6571316906126703,0.9012597828746759
ticker,CCL,33,0.7272727272727273,0.617933723196881,0.9223832768119552
ticker,DIS,41,0.6341463414634146,0.5901305683563748,1.552382000854409
ticker,AAPL,167,0.5748502994011976,0.5487511409841507,0.938127561689942
ticker,NVDA,11,0.45454545454545453,0.4437229437229437,0.7115633782395361
ticker,AMZN,39,0.48717948717948717,0.4162037037037037,1.3022942325176181
ticker,WMT,10,0.5,0.3717948717948718,0.8689776784577171
ticker,MSFT,35,0.4,0.36868428530832625,1.1651877206731758
ticker,BABA,28,0.39285714285714285,0.26455026455026454,0.9034484056807405
ticker,PFE,20,0.6,0.25,0.7941007022984405
ticker,NFLX,18,0.2222222222222222,0.21616161616161614,1.2024211049110396
ticker,FB,22,0.22727272727272727,0.18260869565217389,1.2094870315638144
volatility_regime,high_volatility,325,0.8276923076923077,0.7819755097730864,0.7340799221112507
volatility_regime,medium_volatility,336,0.6339285714285714,0.6374769368356606,0.9521627850825597
volatility_regime,low_volatility,333,0.4984984984984985,0.47428239984018017,1.205255588196521
